product_category_name;product_category
bed_bath_table;Home_decor
furniture_decor;Home_decor
housewares;Home_decor
kitchen_dining_laundry_garden_furniture;Home_decor
furniture_living_room;Home_decor
furniture_bedroom;Home_decor
flowers;Home_decor
sports_leisure;sports
auto;sports
computers_accessories;electronics
telephony;electronics
electronics;electronics
fixed_telephony;electronics
computers;electronics
tablets_printing_image;electronics
health_beauty;baby_cosmetics
perfumery;baby_cosmetics
diapers_and_hygiene;baby_cosmetics
baby;baby_cosmetics
office_furniture;utility
small_appliances_home_oven_and_coffee;utility
garden_tools;utility
home_confort;utility
air_conditioning;utility
home_appliances;utility
construction_tools_construction;utility
small_appliances;utility
home_construction;utility
construction_tools_lights;utility
industry_commerce_and_business;utility
home_appliances_2;utility
costruction_tools_garden;utility
construction_tools_safety;utility
signaling_and_security;utility
costruction_tools_tools;utility
home_comfort_2;utility
security_and_services;utility
furniture_mattress_and_upholstery;utility
agro_industry_and_commerce;utility
christmas_supplies;utility
party_supplies;utility
stationery;utility
consoles_games;hobbies
cds_dvds_musicals;hobbies
audio;hobbies
cine_photo;hobbies
dvds_blu_ray;hobbies
pet_shop;hobbies
toys;hobbies
musical_instruments;hobbies
books_general_interest;hobbies
food;hobbies
drinks;hobbies
books_technical;hobbies
food_drink;hobbies
art;hobbies
books_imported;hobbies
music;hobbies
arts_and_craftmanship;hobbies
la_cuisine;hobbies
cool_stuff;hobbies
watches_gifts;fashion
fashion_shoes;fashion
fashion_underwear_beach;fashion
fashion_male_clothing;fashion
fashion_bags_accessories;fashion
luggage_accessories;fashion
fashio_female_clothing;fashion
fashion_sport;fashion
fashion_childrens_clothes;fashion
not_reported;others
market_place;others
